feature,mean_abs_shap
sum_weight,0.9119506
total_clicks,0.744642
n_assessments,0.71285367
mean_score,0.5337778
code_module,0.3132905
content,0.22240476
max_score,0.21956095
quiz,0.14954017
weekly_click_slope,0.106686495
wiki_prop,0.10242077
studied_credits,0.097935975
wiki,0.0959573
quiz_prop,0.08018534
wk_entropy_slope,0.066749915
forum_prop,0.061633352
code_presentation,0.052547812
content_prop,0.03744846
url_prop,0.036874544
forum,0.027985124
glossary_prop,0.021455197
highest_education,0.020727107
imd_band,0.01735443
gender,0.015931593
dataplus,0.015611879
dataplus_prop,0.015204169
nav_entropy,0.014624823
url,0.014219243
region,0.010960923
disability,0.00818091
glossary,0.0070480485
num_of_prev_attempts,0.0062730885
age_band,0.0035535297
